title,year,source,selection_criteria,status,comments
Balancing act: Enabling public engagement with sustainability issues through a multi-touch tabletop collaborative game,2011,Scopus,,Duplicated,
Vision-based projected tabletop interface for finger interactions,2007,Scopus,,Duplicated,
The 3D tractus: A three-dimensional drawing board,2006,Scopus,,Duplicated,
Improving menu interaction for cluttered tabletop setups with user-drawn path menus,2007,Scopus,,Duplicated,
Analysis of natural gestures for controlling robot teams on multi-touch tabletop surfaces,2009,Scopus,,Duplicated,
Collaborative puzzle game: Fostering collaboration in children with Autistic Spectrum Disorder (ASD) and with typical development,2009,Scopus,,Duplicated,
Using digital tabletops to support distributed agile planning meetings,2009,Scopus,,Duplicated,
"Tablexcel: A multi-user, multi-touch interactive tabletop interface for microsoft excel spreadsheets",2011,Scopus,,Duplicated,
"Gestures as a ""creation"" mechanism for tabletop interfaces",2010,Scopus,,Duplicated,
Improved background removal through polarisation in vision-based tabletop interface,2007,Scopus,,Duplicated,
Creating the spectacle: Designing interactional trajectories through spectator interfaces,2011,Scopus,,Duplicated,
AGORAS: Exploring creative learning on tangible user interfaces,2011,Scopus,,Duplicated,
Understanding file access mechanisms for embedded ubicomp collaboration interfaces,2009,Scopus,,Duplicated,
Utilizing digital tabletops in collocated agile planning meetings,2008,Scopus,,Duplicated,
Depth-sensing video cameras for 3D tangible tabletop interaction,2007,Scopus,,Duplicated,
A set of customizable games supporting therapy of children with cerebral palsy,2011,Scopus,,Duplicated,
Territoriality in collaborative tabletop workspaces,2004,Scopus,,Duplicated,
Integrating point and touch for interaction with digital tabletop displays,2006,Scopus,,Duplicated,
Alerting accidents with ambiguity: A tangible tabletop application for safe and independent chemistry experiments,2010,Scopus,,Duplicated,
Exploring the effects of group size and table size on interactions with tabletop shared-display groupware,2004,Scopus,,Duplicated,
Experiences with building a thin form-factor touch and tangible tabletop,2008,Scopus,,Duplicated,
Gesture-based interactions on multiple large displays with a tabletop interface,2007,Scopus,,Duplicated,
Mapping place: Supporting cultural learning through a Lukasa-inspired tangible tabletop museum exhibit,2015,Scopus,,Duplicated,
Improving awareness of automated actions within digital tabletops,2012,Scopus,,Duplicated,
An interaction on a flat panel display using a planar 1-DOF electrostatic actuator,2011,Scopus,,Duplicated,
Videogame-based case studies for improving communication and attention in children with ASD,2018,Scopus,,Duplicated,
Reducing the Cognitive Load of Playing a Digital Tabletop Game with a Multimodal Interface,2022,Scopus,,Duplicated,
Supporting community participation in interactive exhibits,2014,Scopus,,Duplicated,
Co-located collaborative visual analytics around a tabletop display,2012,Scopus,,Duplicated,
Bridging the cross-cultural language divide through design,2018,Scopus,,Duplicated,
An asymmetric collaborative system for architectural-scale space design,2018,Scopus,,Duplicated,
Spatially aware tangible display interaction in a tabletop environment,2012,Scopus,,Duplicated,
Dynamic tangible user interface palettes,2013,Scopus,,Duplicated,
E-CORE (Embodied COgnitive REhabilitation): A cognitive rehabilitation system using tangible tabletop interface,2013,Scopus,,Duplicated,
AR tabletop interface using an optical see-through HMD,2016,Scopus,,Duplicated,
Designing cultural values into interaction,2017,Scopus,,Duplicated,
Exploring automation in digital tabletop board game,2012,Scopus,,Duplicated,
Let's jam the reactable: Peer learning during musical improvisation with a tabletop tangible interface,2013,Scopus,,Duplicated,
Tangible reels: Construction and exploration of tangible maps by visually impaired users,2016,Scopus,,Duplicated,
Tangible interaction and teacher education: Creating resources for students with different communication processes,2019,Scopus,,Duplicated,
JDLED: Towards visio-tactile displays based on electrochemical locomotion of liquid-metal Janus droplets,2017,Scopus,,Duplicated,
In-situ occlusion resolution for hybrid tabletop environments,2015,Scopus,,Duplicated,
"Using scalable, interactive floor projection for production planning scenario",2014,Scopus,,Duplicated,
Collaborative problem solving with objects: Physical aspects of a tangible tabletop in technology-based assessment,2012,Scopus,,Duplicated,
Assessment of Collaborative Problem Solving Using Linear Equations on a Tangible Tabletop,2014,Scopus,,Duplicated,
Supporting opportunistic search in meetings with tangible tabletop,2012,Scopus,,Duplicated,
Investigating menu discoverability on a digital tabletop in a public setting,2012,Scopus,,Duplicated,
Development of communication support system at mealtimes using tabletop interface,2013,Scopus,,Duplicated,
Exploring the layered use of transparent display on a large tabletop display,2016,Scopus,,Duplicated,
Around-device interactions: A usability study of frame markers in acquisition tasks,2015,Scopus,,Duplicated,
Dual Reality for Production Verification Workshops: A Comprehensive Set of Virtual Methods,2016,Scopus,,Duplicated,
Evaluating digital tabletop collaborative writing in the classroom,2015,Scopus,,Duplicated,
Designing and making a tangible tabletop game with ToyVision,2013,Scopus,,Duplicated,
Multitouch tabletop technology for people with autism spectrum disorder: A review of the literature,2012,Scopus,,Duplicated,
Interaction patterns for assessment of learners in tabletop based collaborative learning environment,2013,Scopus,,Duplicated,
Human Touch in Digital Experiences,2016,Scopus,,Duplicated,
Resolving display shape dependence issues on tabletops,2018,Scopus,,Duplicated,
Collaborative business process modeling in multi-surface environments,2017,Scopus,,Duplicated,
Towards geospatial tangible user interfaces: An observational user study exploring geospatial interactions of the novice,2016,Scopus,,Duplicated,
An immersive surface for 3D interactions,2012,Scopus,,Duplicated,
Effects of viewing conditions and rotation methods in a collaborative tabletop AR environment,2010,IEEE Digital Library,,Duplicated,
Resolving display shape dependence issues on tabletops,2018,IEEE Digital Library,,Duplicated,
Post-WIMP Interaction for Information Visualization ,2021,IEEE Digital Library,,Duplicated,
Localisation and interaction for augmented maps,2005,IEEE Digital Library,,Duplicated,
Storage bins: mobile storage for collaborative tabletop displays,2005,IEEE Digital Library,,Duplicated,
"Tangible user interfaces: past, present, and future directions",2010,IEEE Digital Library,,Duplicated,
AR Tabletop Interface using a Head-Mounted Projector,2016,IEEE Digital Library,,Duplicated,
User perceptions of adaptivity in an interactive narrative,2011,ACM Digital Library,,Duplicated,
Tables in the wild: lessons learned from a large-scale multi-tabletop deployment,2013,ACM Digital Library,,Duplicated,
Visualization techniques for circular tabletop interfaces,2002,ACM Digital Library,,Duplicated,
Doing community: co-construction of meaning and use with interactive information kiosks,2006,ACM Digital Library,,Duplicated,
Games and simulations in industrial engineering education: a review of the cognitive and affective learning outcomes,2018,ACM Digital Library,,Duplicated,
Tisch digital tools supporting board games,2012,ACM Digital Library,,Duplicated,
Collaborative visualization of simulated processes using tabletop fiducial augmented reality,2011,ACM Digital Library,,Duplicated,
"RoboJockey: real-time, simultaneous, and continuous creation of robot actions for everyone",2010,ACM Digital Library,,Duplicated,
Getting sidetracked: display design and occasioning photo-talk with the photohelix,2009,ACM Digital Library,,Duplicated,
Solar scramble: an educational children's game for collaborative multi-touch digital tabletops,2010,ACM Digital Library,,Duplicated,
Light on horizontal interactive surfaces: Input space for tabletop computing,2014,ACM Digital Library,,Duplicated,
"Dollhouse VR: a multi-view, multi-user collaborative design workspace with VR technology",2015,ACM Digital Library,,Duplicated,
Modelling symmetry of activity as an indicator of collocated group collaboration,2011,ACM Digital Library,,Duplicated,
Hugin: a framework for awareness and coordination in mixed-presence collaborative information visualization,2010,ACM Digital Library,,Duplicated,
"Sketched menus and iconic gestures, techniques designed in the context of shareable interfaces",2010,ACM Digital Library,,Duplicated,
Sketched menu: a tabletop-menu technique for GUI object creation,2010,ACM Digital Library,,Duplicated,
DiamondSpin: an extensible toolkit for around-the-table interaction,2004,ACM Digital Library,,Duplicated,
Interactive tabletops with non-interactive rims,2010,ACM Digital Library,,Duplicated,
MisTable: reach-through personal screens for tabletops,2014,ACM Digital Library,,Duplicated,
Improving awareness of automated actions using an interactive event timeline,2013,ACM Digital Library,,Duplicated,
Actions speak loudly with words: unpacking collaboration around the table,2009,ACM Digital Library,,Duplicated,
